customer_id,city,age,gender,monthly_income,plan_type,tenure_months,monthly_recharge_amount,data_usage_gb,call_minutes_used,sms_count,number_of_complaints,complaint_resolved,network_type,device_brand,device_price_range,avg_monthly_bill,late_payment_count,contract_type,customer_service_calls,international_roaming_used,value_added_services_count,satisfaction_score,app_usage_hours_per_week,social_media_usage_hours,streaming_service_used,number_of_family_lines,payment_method,signup_date,churn,tenure_days_from_signup
CUST00285,Nashik,27.0,Female,30300.0,Prepaid,8.0,326.33,2.9,184.0,27.0,1.0,No,4G,Realme,Mid (10k-25k),284.97,2.0,No Contract,2.0,No,2.0,3.0,11.6,5.5,Yes,0.0,Wallet,2020-12-26,No,2054.0
CUST00118,Mumbai,,Female,155000.0,Prepaid,1.0,147.64,0.76,659.0,27.0,1.0,Yes,,Xiaomi,Premium (>60k),134.23,1.0,No Contract,0.0,No,1.0,1.0,19.7,0.6,No,0.0,Net Banking,2019-08-07,Yes,2561.0
CUST00735,Pune,51.0,Female,32400.0,Postpaid,500.0,110.6,14.53,82.0,26.0,2.0,No,5G,OnePlus,Mid (10k-25k),126.78,0.0,No Contract,2.0,No,1.0,3.0,1.2,1.8,No,0.0,Cash,2021-04-09,No,1950.0
CUST00205,Nashik,42.0,Female,48200.0,Postpaid,47.0,115.25,4.96,441.0,22.0,1.0,No,5G,Realme,Mid (10k-25k),134.26,1.0,No Contract,1.0,No,0.0,3.0,25.7,3.2,Yes,0.0,UPI,2023-09-29,No,1047.0
CUST00260,Mumbai,62.0,Female,31800.0,Prepaid,25.0,303.53,6.67,165.0,25.0,2.0,No,4G,Vivo,Mid (10k-25k),391.8,1.0,No Contract,2.0,No,1.0,2.0,0.0,8.2,No,0.0,UPI,2021-06-01,No,1897.0
CUST00873,Thane,56.0,Female,,Prepaid,11.0,186.88,5.75,639.0,29.0,1.0,No,4G,Apple,Mid (10k-25k),195.59,1.0,With Contract,1.0,No,0.0,4.0,10.7,6.9,No,0.0,Cash,2021-07-24,No,1844.0
CUST00639,Mumbai,55.0,Male,33400.0,Postpaid,9.0,146.65,9.59,738.0,28.0,0.0,No Complaint Filed,5G,Vivo,Mid (10k-25k),119.8,0.0,No Contract,4.0,No,2.0,5.0,1.4,0.7,No,1.0,UPI,2022-03-03,No,1622.0
CUST01021,Thane,42.0,Female,27700.0,Prepaid,34.0,162.69,0.4,585.0,21.0,4.0,Yes,4G,Realme,Mid (10k-25k),200.48,0.0,With Contract,3.0,No,1.0,5.0,22.5,2.6,No,1.0,Wallet,2021-06-24,Yes,1874.0
CUST00738,Solapur,52.0,Male,21700.0,Prepaid,9.0,398.87,13.96,,25.0,1.0,Yes,3G,Xiaomi,Mid (10k-25k),509.06,0.0,No Contract,1.0,No,1.0,5.0,2.2,7.3,No,0.0,Net Banking,2021-03-30,No,1960.0
CUST00455,Mumbai,64.0,Female,34800.0,Prepaid,19.0,178.7,1.31,234.0,16.0,1.0,Yes,3G,Realme,Mid (10k-25k),163.72,1.0,No Contract,1.0,No,2.0,4.0,2.7,5.9,No,0.0,,2023-10-15,No,1031.0
CUST00783,Mumbai,71.0,Female,13800.0,Prepaid,26.0,150.95,17.11,,27.0,1.0,No,4G,Samsung,Mid (10k-25k),184.0,1.0,No Contract,2.0,No,5.0,5.0,7.4,7.7,Yes,1.0,Cash,2021-08-30,No,1807.0
CUST01278,Akola,32.0,Male,19600.0,Postpaid,8.0,289.29,1.16,391.0,18.0,1.0,Yes,4G,Apple,Mid (10k-25k),318.88,1.0,No Contract,0.0,No,0.0,,10.8,0.4,No,3.0,Cash,2020-08-15,No,2187.0
CUST01073,Mumbai,64.0,Male,35900.0,Prepaid,8.0,228.94,2.37,0.0,25.0,1.0,No,3G,Oppo,Low (<10k),217.86,0.0,No Contract,3.0,No,0.0,2.0,3.6,6.6,No,1.0,UPI,2023-10-03,No,1043.0
CUST01444,Pune,69.0,Male,22000.0,Prepaid,22.0,211.1,5.56,502.0,23.0,0.0,No Complaint Filed,4G,Oppo,Low (<10k),179.59,0.0,With Contract,0.0,No,1.0,,,19.4,Yes,3.0,UPI,2023-09-06,No,1070.0
CUST00368,Navi Mumbai,66.0,Male,53600.0,Prepaid,1.0,156.54,1.04,458.0,34.0,0.0,No Complaint Filed,4G,Samsung,Mid (10k-25k),,0.0,With Contract,2.0,No,0.0,2.0,17.4,9.9,No,1.0,UPI,2020-08-01,Yes,2201.0
CUST01483,Nagpur,77.0,Female,21600.0,Prepaid,15.0,123.17,2.07,477.0,27.0,1.0,Yes,4G,Apple,Low (<10k),102.06,0.0,No Contract,1.0,No,2.0,4.0,0.3,5.5,No,2.0,Net Banking,2024-03-23,No,871.0
CUST00542,Nashik,32.0,Female,49700.0,Prepaid,12.0,131.98,0.48,491.0,34.0,4.0,No,4G,Oppo,Low (<10k),144.84,0.0,No Contract,1.0,No,0.0,4.0,5.0,5.0,Yes,3.0,Debit Card,2023-03-27,No,1233.0
CUST00512,Pune,50.0,Male,34300.0,Prepaid,3.0,613.32,0.42,423.0,32.0,0.0,No Complaint Filed,4G,OnePlus,Mid (10k-25k),684.97,2.0,No Contract,2.0,No,1.0,,8.6,12.1,Yes,2.0,Credit Card,2020-12-02,Yes,2078.0
CUST00390,Solapur,38.0,Female,9300.0,Postpaid,25.0,158.11,4.29,757.0,28.0,1.0,No,5G,Oppo,High (25k-60k),156.78,0.0,No Contract,3.0,No,4.0,3.0,0.9,1.7,Yes,0.0,UPI,2019-09-10,No,2527.0
CUST00557,Mumbai,30.0,Female,34400.0,Prepaid,0.0,170.54,2.88,240.0,29.0,1.0,No,5G,Xiaomi,Low (<10k),151.86,1.0,,3.0,No,1.0,5.0,16.1,0.8,Yes,0.0,Debit Card,2019-08-25,No,2543.0
CUST00770,Solapur,26.0,Female,23400.0,Postpaid,41.0,186.26,2.33,306.0,27.0,2.0,No,3G,Apple,,158.43,0.0,With Contract,4.0,No,4.0,4.0,4.0,2.0,No,1.0,UPI,2021-11-09,No,1736.0
CUST00703,Pune,32.0,Female,27200.0,Prepaid,2.0,426.5,,233.0,30.0,2.0,Yes,4G,Xiaomi,Premium (>60k),488.44,2.0,No Contract,3.0,No,1.0,4.0,1.0,2.1,Yes,0.0,Net Banking,2021-08-24,No,1813.0
CUST00801,Thane,,Male,33400.0,Prepaid,24.0,377.9,8.24,707.0,28.0,2.0,Yes,4G,Xiaomi,High (25k-60k),,1.0,With Contract,3.0,No,3.0,1.0,5.0,0.4,Yes,0.0,UPI,2021-01-16,No,2033.0
CUST00286,Mumbai,41.0,Female,26800.0,Prepaid,33.0,181.54,0.76,638.0,23.0,2.0,Yes,4G,Realme,Mid (10k-25k),168.98,2.0,No Contract,2.0,No,0.0,4.0,2.1,6.3,Yes,2.0,UPI,2024-03-08,Yes,886.0
CUST00072,Mumbai,,Male,123500.0,Prepaid,14.0,181.78,3.27,521.0,17.0,1.0,Yes,4G,Apple,Mid (10k-25k),149.98,1.0,With Contract,1.0,No,2.0,2.0,9.3,1.3,Yes,0.0,Debit Card,2024-04-23,No,840.0
CUST00612,Solapur,83.0,Male,28300.0,Postpaid,14.0,224.12,2.23,,23.0,2.0,No,4G,Samsung,Mid (10k-25k),255.6,0.0,With Contract,3.0,No,1.0,,2.0,2.7,Yes,3.0,Wallet,2019-07-23,No,2576.0
CUST00649,Chhatrapati Sambhajinagar,28.0,Female,12600.0,Postpaid,5.0,111.28,3.78,405.0,27.0,3.0,Yes,4G,Realme,,116.15,0.0,No Contract,4.0,No,1.0,1.0,1.3,1.2,No,2.0,Debit Card,2023-08-02,Yes,1105.0
CUST00914,Pune,49.0,Male,43700.0,Postpaid,4.0,243.0,17.21,153.0,33.0,1.0,Yes,4G,Realme,Mid (10k-25k),264.83,2.0,No Contract,2.0,Yes,1.0,5.0,1.1,1.7,Yes,1.0,UPI,2024-04-06,No,857.0
CUST01055,Akola,85.0,Male,28100.0,Prepaid,2.0,301.93,1.03,454.0,27.0,4.0,Yes,4G,OnePlus,High (25k-60k),304.49,0.0,No Contract,4.0,No,1.0,5.0,1.4,0.1,No,0.0,Cash,2021-07-06,Yes,1862.0
CUST01051,Amravati,47.0,Male,42100.0,Prepaid,30.0,168.82,0.97,543.0,23.0,1.0,No,4G,Vivo,Mid (10k-25k),179.8,1.0,No Contract,4.0,No,1.0,3.0,21.7,7.6,No,1.0,Cash,2022-02-05,No,1648.0
CUST01016,Navi Mumbai,43.0,Male,66200.0,Prepaid,2.0,205.09,7.54,459.0,31.0,0.0,No Complaint Filed,4G,Xiaomi,Low (<10k),265.97,0.0,With Contract,1.0,No,3.0,3.0,0.6,0.0,Yes,3.0,Credit Card,2024-04-16,No,847.0
CUST00351,Nagpur,47.0,Male,17700.0,Prepaid,41.0,280.88,16.72,249.0,28.0,2.0,Yes,4G,Samsung,Low (<10k),351.51,0.0,No Contract,1.0,No,0.0,2.0,21.6,7.4,Yes,1.0,Net Banking,2019-04-09,No,2681.0
CUST01401,Mumbai,38.0,,8600.0,Prepaid,0.0,209.59,5.99,588.0,31.0,1.0,No,4G,OnePlus,High (25k-60k),240.87,4.0,With Contract,2.0,No,0.0,3.0,0.1,8.1,Yes,1.0,Credit Card,2020-03-25,No,2330.0
CUST01361,Navi Mumbai,52.0,Female,32800.0,Postpaid,11.0,117.03,1.75,725.0,20.0,0.0,No Complaint Filed,4G,OnePlus,Low (<10k),115.38,0.0,No Contract,2.0,No,0.0,3.0,8.6,6.0,No,1.0,Net Banking,2022-11-11,Yes,1369.0
CUST00112,Mumbai,54.0,Female,16100.0,Prepaid,10.0,601.87,0.43,251.0,24.0,0.0,No Complaint Filed,3G,Realme,Mid (10k-25k),570.15,0.0,With Contract,0.0,No,2.0,5.0,2.2,5.0,Yes,0.0,UPI,2024-03-31,No,863.0
CUST01014,Mumbai,42.0,Female,44900.0,Prepaid,1.0,157.04,0.33,367.0,16.0,2.0,Yes,4G,Xiaomi,Low (<10k),141.06,1.0,No Contract,3.0,No,0.0,3.0,2.7,3.0,No,1.0,,2021-06-13,Yes,1885.0
CUST00716,Navi Mumbai,35.0,Male,14400.0,Prepaid,10.0,271.6,7.73,551.0,22.0,4.0,No,,Xiaomi,Mid (10k-25k),350.64,2.0,No Contract,3.0,No,2.0,5.0,12.6,7.0,No,0.0,UPI,2022-06-20,No,1513.0
CUST01062,Akola,61.0,Female,30900.0,Postpaid,8.0,188.44,4.09,31.0,25.0,1.0,Yes,4G,Xiaomi,Low (<10k),226.21,1.0,No Contract,2.0,Yes,0.0,3.0,3.5,2.7,No,1.0,Wallet,2019-05-17,No,2643.0
CUST00117,Solapur,,Female,29200.0,Prepaid,13.0,229.87,2.99,668.0,19.0,1.0,Yes,4G,Samsung,High (25k-60k),258.21,0.0,With Contract,3.0,No,1.0,2.0,,11.4,No,2.0,Debit Card,2019-05-17,No,2643.0
CUST00867,Mumbai,57.0,Male,24200.0,Prepaid,0.0,195.03,7.12,325.0,27.0,1.0,No,3G,Samsung,Low (<10k),224.01,1.0,No Contract,4.0,No,1.0,3.0,2.6,2.9,No,0.0,Credit Card,2020-09-30,No,2141.0
CUST00102,Nashik,63.0,Male,37100.0,Prepaid,0.0,155.21,3.3,616.0,14.0,2.0,No,5G,Xiaomi,Low (<10k),158.65,0.0,No Contract,3.0,No,1.0,2.0,,3.6,Yes,0.0,UPI,2019-01-11,No,2769.0
CUST00659,Thane,35.0,Female,25300.0,Postpaid,9.0,75.78,12.08,603.0,23.0,1.0,Yes,4G,Realme,High (25k-60k),92.28,2.0,No Contract,7.0,No,1.0,2.0,3.6,2.0,Yes,0.0,UPI,2023-02-04,No,1284.0
CUST00986,Nagpur,78.0,,28900.0,Postpaid,2.0,115.4,2.99,186.0,31.0,1.0,No,4G,Xiaomi,High (25k-60k),129.22,2.0,,3.0,No,0.0,3.0,6.4,1.3,No,2.0,Debit Card,2019-02-02,Yes,2747.0
CUST01048,Mumbai,31.0,Female,10600.0,Postpaid,14.0,104.48,,642.0,25.0,2.0,Yes,4G,Realme,Low (<10k),106.62,0.0,No Contract,2.0,No,2.0,3.0,2.2,1.7,No,0.0,Credit Card,2020-11-10,No,2100.0
CUST01191,Mumbai,34.0,Female,32000.0,Postpaid,5.0,68.04,8.18,346.0,15.0,2.0,Yes,4G,Samsung,Low (<10k),57.61,0.0,No Contract,0.0,No,1.0,4.0,1.1,12.2,Yes,4.0,Wallet,2019-06-12,No,2617.0
CUST00638,Mumbai,37.0,Male,60300.0,Prepaid,22.0,492.82,0.37,325.0,29.0,0.0,No Complaint Filed,4G,Samsung,Low (<10k),557.5,1.0,With Contract,3.0,No,2.0,5.0,13.8,2.1,Yes,0.0,Wallet,2020-05-11,No,2283.0
CUST00607,Mumbai,21.0,Female,,Prepaid,50.0,211.83,16.15,614.0,28.0,0.0,No Complaint Filed,4G,Apple,Mid (10k-25k),243.35,2.0,No Contract,0.0,No,0.0,2.0,3.0,20.0,No,0.0,UPI,2021-04-04,No,1955.0
CUST00453,Pune,36.0,Female,21400.0,Prepaid,20.0,140.43,0.2,,23.0,0.0,No Complaint Filed,4G,Vivo,Low (<10k),163.6,0.0,No Contract,1.0,No,2.0,5.0,1.0,0.1,Yes,1.0,Credit Card,2021-01-30,No,2019.0
CUST00733,Thane,69.0,Other,40900.0,Prepaid,1.0,150.31,0.55,,18.0,2.0,Yes,4G,Xiaomi,Premium (>60k),130.53,1.0,No Contract,1.0,No,2.0,3.0,4.6,6.4,Yes,0.0,,2021-07-11,Yes,1857.0
CUST00464,Nashik,40.0,Female,11700.0,Prepaid,10.0,252.93,10.71,123.0,16.0,1.0,Yes,4G,Vivo,High (25k-60k),325.24,0.0,No Contract,2.0,No,0.0,4.0,0.8,1.1,No,1.0,UPI,2024-04-20,No,843.0
CUST01075,Akola,51.0,Male,23800.0,Postpaid,8.0,103.14,6.32,605.0,34.0,2.0,Yes,4G,Samsung,Low (<10k),98.56,1.0,No Contract,0.0,No,2.0,4.0,,0.7,No,0.0,UPI,2020-07-11,No,2222.0
CUST01481,Solapur,39.0,Female,21800.0,Prepaid,10.0,649.04,1.17,0.0,15.0,2.0,Yes,4G,Xiaomi,Mid (10k-25k),828.48,0.0,No Contract,2.0,No,0.0,4.0,2.3,17.2,No,0.0,UPI,2022-12-10,No,1340.0
CUST00253,Kolhapur,38.0,Male,11000.0,Prepaid,5.0,114.03,12.26,762.0,26.0,2.0,No,4G,Vivo,Low (<10k),101.51,1.0,No Contract,2.0,No,1.0,5.0,2.0,0.8,Yes,3.0,Debit Card,2021-03-11,No,1979.0
CUST01458,Thane,53.0,Female,54700.0,Prepaid,40.0,278.22,33.5,299.0,26.0,1.0,Yes,4G,Realme,Mid (10k-25k),315.74,1.0,No Contract,1.0,Yes,0.0,4.0,4.5,4.2,Yes,4.0,UPI,2024-05-25,No,808.0
CUST01396,Solapur,57.0,Female,22100.0,Postpaid,25.0,420.0,5.93,463.0,23.0,2.0,No,4G,Realme,Mid (10k-25k),480.65,2.0,With Contract,1.0,No,2.0,4.0,3.7,1.5,Yes,2.0,UPI,2020-08-06,No,2196.0
CUST00128,Kolhapur,69.0,Female,,Prepaid,2.0,373.46,1.85,,33.0,0.0,No Complaint Filed,4G,Samsung,Mid (10k-25k),337.47,0.0,No Contract,3.0,No,5.0,5.0,0.7,4.7,Yes,0.0,Wallet,2023-10-31,Yes,1015.0
CUST00064,Pune,49.0,Male,28200.0,Prepaid,13.0,170.49,5.14,207.0,25.0,2.0,No,5G,Samsung,Premium (>60k),156.32,0.0,With Contract,0.0,No,2.0,5.0,7.4,8.7,No,1.0,Credit Card,2021-11-27,No,1718.0
CUST01027,Kolhapur,35.0,Male,16300.0,Prepaid,12.0,236.01,0.52,264.0,24.0,0.0,No Complaint Filed,4G,Vivo,Low (<10k),234.35,1.0,With Contract,3.0,No,1.0,2.0,7.1,10.4,No,1.0,UPI,2022-08-16,No,1456.0
CUST01447,Thane,50.0,Female,23500.0,Prepaid,7.0,494.25,4.69,173.0,14.0,0.0,No Complaint Filed,2G,Samsung,Mid (10k-25k),556.49,1.0,No Contract,2.0,No,1.0,2.0,5.7,21.5,Yes,1.0,UPI,2021-01-14,No,2035.0
CUST00059,Mumbai,56.0,,17000.0,Prepaid,10.0,433.4,4.21,746.0,31.0,1.0,Yes,3G,Realme,High (25k-60k),510.27,1.0,With Contract,1.0,No,0.0,,7.0,0.7,No,2.0,Wallet,2024-01-25,No,929.0
CUST01302,Navi Mumbai,47.0,Other,25100.0,Postpaid,19.0,73.24,11.49,64.0,20.0,2.0,Yes,4G,Xiaomi,Low (<10k),83.73,0.0,No Contract,4.0,No,1.0,,14.1,6.5,No,0.0,Wallet,2021-09-20,No,1786.0
CUST00349,Pune,60.0,Female,12100.0,Prepaid,4.0,128.35,7.43,346.0,28.0,1.0,No,4G,,Low (<10k),135.32,1.0,No Contract,0.0,No,1.0,,3.7,7.7,No,0.0,Net Banking,2019-07-14,Yes,2585.0
CUST01138,Nagpur,47.0,Male,13000.0,Prepaid,20.0,258.15,0.19,336.0,30.0,2.0,No,4G,Xiaomi,Premium (>60k),256.81,5.0,With Contract,2.0,No,1.0,5.0,32.6,4.1,No,0.0,Cash,2022-09-25,No,1416.0
CUST00468,Kolhapur,55.0,Male,5900.0,Prepaid,11.0,53.44,2.12,632.0,37.0,1.0,No,4G,Xiaomi,Mid (10k-25k),62.88,1.0,No Contract,1.0,No,0.0,3.0,6.7,4.6,Yes,3.0,Credit Card,2024-03-30,No,864.0
CUST01472,Thane,85.0,Male,45700.0,Postpaid,25.0,69.73,2.47,420.0,22.0,1.0,Yes,4G,OnePlus,Low (<10k),64.35,2.0,,2.0,No,3.0,1.0,1.6,0.8,Yes,0.0,Wallet,2022-04-16,No,1578.0
CUST00968,Pune,41.0,Male,10400.0,Prepaid,0.0,183.5,1.2,461.0,19.0,1.0,Yes,4G,Oppo,Premium (>60k),221.21,0.0,No Contract,3.0,No,0.0,4.0,6.0,3.4,No,0.0,Debit Card,2020-01-19,Yes,2396.0
CUST00096,Nagpur,58.0,Female,27700.0,Prepaid,14.0,91.0,9.39,715.0,29.0,2.0,No,4G,Xiaomi,Premium (>60k),81.36,0.0,No Contract,3.0,No,0.0,2.0,8.9,2.7,No,1.0,Net Banking,2021-07-27,Yes,1841.0
CUST00413,Navi Mumbai,39.0,Female,74800.0,Prepaid,20.0,465.22,14.33,821.0,24.0,2.0,No,4G,Samsung,Mid (10k-25k),562.99,3.0,With Contract,2.0,No,2.0,4.0,21.8,25.0,Yes,1.0,Net Banking,2021-03-19,No,1971.0
CUST00201,Thane,54.0,Male,25300.0,Prepaid,25.0,243.06,,182.0,25.0,0.0,No Complaint Filed,4G,,Low (<10k),197.27,1.0,With Contract,0.0,No,2.0,4.0,7.8,7.9,Yes,1.0,Cash,2021-01-12,No,2037.0
CUST00817,Nashik,68.0,Male,7100.0,Prepaid,59.0,270.16,12.32,739.0,25.0,0.0,No Complaint Filed,4G,Vivo,Low (<10k),241.87,0.0,No Contract,2.0,No,2.0,4.0,2.8,6.8,Yes,2.0,Debit Card,2022-06-25,No,1508.0
CUST00701,Nagpur,36.0,Female,33000.0,Prepaid,22.0,180.52,0.36,528.0,21.0,1.0,Yes,4G,Samsung,Low (<10k),228.99,2.0,No Contract,1.0,No,1.0,4.0,13.7,0.6,Yes,1.0,Cash,2022-09-06,No,1435.0
CUST00674,Nagpur,71.0,Female,34200.0,Postpaid,21.0,181.79,8.98,350.0,23.0,2.0,Yes,3G,Vivo,Mid (10k-25k),171.77,0.0,No Contract,2.0,No,2.0,3.0,13.1,1.3,No,1.0,UPI,2020-12-21,No,2059.0
CUST00433,Nashik,56.0,Female,21500.0,Postpaid,14.0,284.9,1.24,388.0,19.0,3.0,Yes,4G,Vivo,Mid (10k-25k),352.53,1.0,No Contract,2.0,No,0.0,2.0,5.2,16.2,Yes,2.0,Net Banking,2021-02-12,No,2006.0
CUST00384,Amravati,52.0,Male,25500.0,Postpaid,6.0,134.95,1.16,188.0,30.0,2.0,Yes,2G,Apple,Low (<10k),152.65,0.0,No Contract,3.0,No,3.0,2.0,5.7,3.8,Yes,0.0,UPI,2022-04-02,No,1592.0
CUST00028,Nagpur,50.0,Male,70600.0,Prepaid,0.0,157.06,0.85,473.0,23.0,1.0,No,4G,Samsung,Low (<10k),164.65,1.0,No Contract,0.0,No,0.0,3.0,21.8,5.6,Yes,3.0,Net Banking,2022-07-24,No,1479.0
CUST00142,Mumbai,46.0,Female,20600.0,Postpaid,10.0,251.63,8.58,69.0,26.0,3.0,No,4G,Xiaomi,Mid (10k-25k),232.1,2.0,No Contract,3.0,No,0.0,4.0,0.4,0.1,Yes,0.0,UPI,2021-10-22,Yes,1754.0
CUST00010,Thane,75.0,Male,24100.0,Postpaid,11.0,169.8,10.56,358.0,21.0,1.0,Yes,3G,Xiaomi,Low (<10k),173.91,3.0,No Contract,5.0,No,3.0,3.0,14.6,2.0,Yes,1.0,Debit Card,2019-11-13,Yes,2463.0
CUST00778,Thane,53.0,Female,29900.0,Prepaid,6.0,167.84,5.14,517.0,25.0,1.0,No,4G,OnePlus,High (25k-60k),168.7,2.0,No Contract,1.0,No,3.0,2.0,2.8,1.1,Yes,3.0,Credit Card,2021-03-04,No,1986.0
CUST00397,Kolhapur,52.0,Female,26000.0,Prepaid,3.0,203.56,1.71,104.0,18.0,0.0,No Complaint Filed,5G,Apple,Mid (10k-25k),239.39,0.0,No Contract,5.0,No,1.0,5.0,12.7,9.8,No,3.0,UPI,2023-09-19,No,1057.0
CUST01404,Thane,42.0,Female,46200.0,Prepaid,22.0,126.54,8.82,397.0,32.0,1.0,Yes,4G,Apple,High (25k-60k),,1.0,With Contract,2.0,No,1.0,1.0,4.3,1.3,No,1.0,Net Banking,2020-03-27,No,2328.0
CUST00653,Nashik,59.0,Male,32800.0,Prepaid,12.0,264.58,5.01,164.0,25.0,2.0,No,3G,Apple,Low (<10k),238.29,0.0,With Contract,1.0,No,1.0,5.0,1.5,8.7,Yes,0.0,UPI,2021-08-01,No,1836.0
CUST00650,Nagpur,36.0,Female,24300.0,Prepaid,8.0,80.86,2.24,,29.0,1.0,Yes,3G,Xiaomi,Mid (10k-25k),84.69,1.0,With Contract,0.0,No,1.0,2.0,2.0,3.0,No,0.0,Wallet,2021-04-30,No,1929.0
CUST00894,Pune,85.0,Male,6700.0,Prepaid,10.0,685.94,6.88,673.0,34.0,0.0,No Complaint Filed,4G,Xiaomi,Low (<10k),784.71,0.0,With Contract,5.0,No,2.0,3.0,0.7,5.5,Yes,0.0,,2021-02-07,No,2011.0
CUST00882,Thane,57.0,Female,29600.0,Postpaid,5.0,62.5,2.32,598.0,34.0,2.0,No,5G,Realme,Low (<10k),51.09,4.0,No Contract,1.0,No,1.0,3.0,3.6,0.2,No,0.0,Cash,2023-07-17,Yes,1121.0
CUST00685,Navi Mumbai,66.0,Female,20600.0,Prepaid,4.0,70.03,5.71,806.0,28.0,1.0,Yes,4G,Samsung,High (25k-60k),79.58,0.0,No Contract,0.0,No,0.0,3.0,23.7,0.5,Yes,1.0,Debit Card,2019-06-28,No,2601.0
CUST00194,Nashik,67.0,Male,23100.0,Prepaid,7.0,139.9,5.2,324.0,37.0,4.0,Yes,4G,Vivo,Mid (10k-25k),127.45,0.0,No Contract,1.0,No,0.0,3.0,1.9,13.6,No,0.0,Net Banking,2022-02-10,No,1643.0
CUST00665,Mumbai,58.0,Female,21900.0,Prepaid,29.0,43.76,2.76,225.0,30.0,3.0,No,5G,,Mid (10k-25k),,3.0,No Contract,2.0,No,1.0,,0.3,5.7,Yes,0.0,UPI,2021-04-04,No,1955.0
CUST00263,Mumbai,64.0,Male,45000.0,Prepaid,49.0,305.93,0.1,80.0,37.0,2.0,Yes,4G,Vivo,Low (<10k),272.01,0.0,With Contract,0.0,No,1.0,5.0,2.7,1.7,No,1.0,Credit Card,2022-06-25,No,1508.0
CUST00956,Pune,44.0,Male,29800.0,Postpaid,4.0,125.74,2.91,0.0,21.0,1.0,No,4G,Xiaomi,High (25k-60k),146.15,1.0,No Contract,2.0,No,2.0,5.0,4.2,1.0,Yes,1.0,Cash,2023-07-06,No,1132.0
CUST01139,Nagpur,62.0,Male,69900.0,Postpaid,1.0,376.84,,531.0,28.0,1.0,Yes,4G,Apple,High (25k-60k),397.82,0.0,With Contract,2.0,No,2.0,4.0,6.9,4.9,Yes,2.0,Net Banking,2019-08-31,No,2537.0
CUST00870,Navi Mumbai,45.0,,15700.0,Postpaid,17.0,52.74,0.2,333.0,18.0,1.0,No,4G,,Low (<10k),44.74,1.0,No Contract,7.0,No,2.0,3.0,,4.8,No,0.0,UPI,2019-07-23,No,2576.0
